"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_FLi8","baseMean_FL8","mgi_symbol","chromosome_name"
"ENSMUSG00000091735",1.2992684183237,-0.581683331587651,1.47778643764985,-0.393617992944037,0.693863095044881,NA,1.03375453627956,1.25367009414704,"Gpr62","9"
"ENSMUSG00000091737",0.240196237250583,1.31735153669942,6.76686491132852,0.194676789615531,0.845645983451351,NA,0.817109061926808,0.201735521623751,"Gm17543","1"
"ENSMUSG00000091742",1.20752277662689,-0.236276011913216,1.82526691835668,-0.129447375360279,0.897003662875561,NA,1.20961262998145,0.806942086495004,"Gm5093","17"
"ENSMUSG00000091744",0.0243060005025288,1.28626219511663,6.80625493902526,0.188982370869117,0.85010663382859,NA,0.243060005025288,0,"Gm17732","18"
"ENSMUSG00000091745",2.13968175001512,-2.17611218572811,1.89164628596673,-1.15038006939865,0.249987365335727,NA,0,0.733624124080854,"Gm17098","9"
"ENSMUSG00000091749",0.259434920245469,2.54014414563552,6.76243613510294,0.375625602207163,0.70719525452167,NA,1.20961262998145,0,"Tspy-ps","Y"
"ENSMUSG00000091754",0.0453853877660591,0,6.80597852787141,0,1,NA,0,0,"Gm3636","14"
"ENSMUSG00000091759",0.27080568445277,-0.618587753134762,4.97653783066531,-0.124300824023288,0.901077094886167,NA,0,0.265944301228551,"Gm17433","11"
"ENSMUSG00000091760",0.318459697911071,0,5.73338258841805,0,1,NA,0,0,"Gm17619","2"
"ENSMUSG00000091769",0.189000858742924,-1.23299839362463,6.79048894055341,-0.181577262612277,0.855914494004087,NA,0,0.531888602457103,"4921507G05Rik","12"
"ENSMUSG00000091786",0.523830595966322,0.476735929579063,3.30969004311021,0.144042470252308,0.885466932899141,NA,0.486120010050575,0.520045970066185,"Gm8425","16"
"ENSMUSG00000091793",0.328454219261053,-1.25381840483307,6.78299468978671,-0.184847322189558,0.853348789634863,NA,0,0.403471043247502,"Rian","12"
"ENSMUSG00000091794",0.145987194523972,0,6.80624390834081,0,1,NA,0,0,"Vmn2r18","5"
"ENSMUSG00000091798",0.25808319295423,1.50346248946238,6.01592005509095,0.249913974204175,0.80265387621439,NA,0.243060005025288,0,"Gm17691","12"
"ENSMUSG00000091804",0.237751454441531,1.7032957891344,6.03939791557449,0.282030727722364,0.777919948953228,NA,1.12168358313051,0.201735521623751,"Gm17636","4"
"ENSMUSG00000091810",1.54413069453709,0.507943701055108,1.95576440591404,0.259716200744393,0.795082694976459,NA,0.330989051876233,0.318310448442434,"Gm17442","10"
"ENSMUSG00000091820",0.0268469471373773,0,6.80625493902526,0,1,NA,0,0,"Gm1815","8"
"ENSMUSG00000091821",0.0520045970066185,-1.68848102422551,6.77461351125816,-0.24923650942147,0.803177839857699,NA,0,0.520045970066185,"Gm17503","X"
"ENSMUSG00000091822",0.0431136559252746,-0.769022671154574,6.80620761756512,-0.11298842385735,0.91003973286384,NA,0,0.201735521623751,"Gm17502","7"
"ENSMUSG00000091826",0.797028039898587,1.61692346875399,1.96082740037122,0.824612848865676,0.409591424310927,NA,3.32995076388564,1.25367009414704,"Gm17504","7"
"ENSMUSG00000091827",1.17972146448073,5.83473906133232,3.4089385491724,1.71159995323143,0.086970416952119,NA,9.33087224759283,0,"Gm3495","5"
"ENSMUSG00000091838",0.567886475148713,2.6922601472847,3.86335420027892,0.696871166275751,0.485883423879198,NA,1.03375453627956,0,"Gm17316","8"
"ENSMUSG00000091839",0.566821756490832,-0.304566399819298,3.06790760180085,-0.0992749584897922,0.920919960412226,NA,0,0.265944301228551,"Gm17315","17"
"ENSMUSG00000091843",0.0510907160518232,0,6.80622666934251,0,1,NA,0,0,"Ighv1-76","12"
"ENSMUSG00000091844",0.449650484016048,-0.162346555077229,2.96178198470086,-0.0548138100359288,0.956286798126425,NA,0.57404905690152,0.90256519811342,"Gm8251","1"
"ENSMUSG00000091849",0.0265944301228551,-0.702678203771044,6.79882267893687,-0.103352924021387,0.917682873176803,NA,0,0.265944301228551,"Gm17188","14"
"ENSMUSG00000091852",0.0268469471373773,0,6.80625493902526,0,1,NA,0,0,"4930534D22Rik","3"
"ENSMUSG00000091853",2.25990182585526,-1.07801501653465,1.34392378544602,-0.802139993509286,0.422471982752025,NA,1.69573264003203,3.03011960794183,"Gm17702","8"
"ENSMUSG00000091856",0.252033400380137,-0.606692289513885,6.77572546467713,-0.0895390896040081,0.928653489313547,NA,0.330989051876233,0.797832903685654,"Gm17701","6"
"ENSMUSG00000091862",0.0270398334494826,0,6.80623565765912,0,1,NA,0,0,"C230036H16Rik","8"
"ENSMUSG00000091864",0.319031564774268,-1.58772820467656,6.76803914207136,-0.234592054116081,0.814525377368727,NA,0,0.403471043247502,"Gm17102","7"
"ENSMUSG00000091872",0.129612260613113,1.17403496945799,6.77825721082094,0.173206022277192,0.862489490095744,NA,0.57404905690152,0.265944301228551,"Gm17561","17"
"ENSMUSG00000091876",0.132160726280005,1.6928121424336,6.79426795963242,0.249152984911885,0.80324244537103,NA,1.09526905245798,0,"Gm3851","1"
"ENSMUSG00000091883",0.741016791610572,-3.27230670515084,2.46450177276722,-1.32777616202588,0.18425206420232,NA,0,1.43445380057052,"1700039M10Rik","14"
"ENSMUSG00000091886",1.35868542044341,-0.221653308971941,1.60009634138751,-0.138524977052154,0.889825531072007,NA,0.486120010050575,0.733624124080854,"AW047730","3"
"ENSMUSG00000091898",0.473846461649181,1.37179009951368,3.75419598373246,0.365401834496085,0.714811472054503,NA,0.243060005025288,0,"Tnnc1","14"
"ENSMUSG00000091908",0.186351984553608,0.203089921939252,6.80351235497334,0.0298507464002464,0.976186087003555,NA,0.243060005025288,0.201735521623751,"Gm17231","9"
"ENSMUSG00000091912",1.19909045688969,0,2.45629375996197,0,1,NA,0,0,"Gm17468","7"
"ENSMUSG00000091919",0.135281841693849,1.48080050918037,6.80584149224169,0.217577872018972,0.827758027021679,NA,0.243060005025288,0,"Gm17470","9"
"ENSMUSG00000091922",0.0607567403695055,0,6.80625382408011,0,1,NA,0,0,"Gm17409","2"
"ENSMUSG00000091923",0.0238607116009725,0,6.80625493902526,0,1,NA,0,0,"Gm8267","14"
