"ensembl_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","baseMean_WT8","baseMean_WT2","mgi_symbol","chromosome_name"
"ENSMUSG00000030231",205.537017582294,1.17508175209697,0.242537749277821,4.84494374832738,1.26647555689179e-06,6.7274322602347e-06,288.071045782407,126.768610385133,"Plekha5","6"
"ENSMUSG00000059278",542.426306586708,-0.53335128600418,0.11011504699923,-4.84358224001767,1.27518904427116e-06,6.77114336597112e-06,386.78381892229,553.304913253416,"Lsmd1","11"
"ENSMUSG00000027940",22001.3019988123,0.43393601202881,0.0896392375163365,4.84091592088483,1.29242050276412e-06,6.86043994267125e-06,28815.5774444719,21458.942198442,"Tpm3","3"
"ENSMUSG00000026457",10029.3171537018,-0.718239746612223,0.148403263747372,-4.83978403490431,1.29980299807274e-06,6.89611542609572e-06,6176.29452378622,10146.1672324454,"Adipor1","1"
"ENSMUSG00000035678",11516.0228082634,-2.18905306464603,0.452306325646207,-4.83975779361154,1.29997463170918e-06,6.89611542609572e-06,9848.39410769081,38685.4860653861,"Tnfsf9","17"
"ENSMUSG00000039187",142.442109157446,-2.01781172664386,0.417018071422112,-4.83866735022473,1.30712608467686e-06,6.93183076817904e-06,61.7383869732974,237.790035780116,"Fanci","7"
"ENSMUSG00000024283",5134.05220123582,0.412448533532308,0.0852537754297795,4.83789171157618,1.31223596932977e-06,6.95670004112015e-06,6884.92885867231,5154.43933258974,"Wac","18"
"ENSMUSG00000045287",12.7404816328826,-6.33843215187096,1.3102006792203,-4.83775672871957,1.31312719298515e-06,6.95919569999911e-06,0,23.2785991638462,"Rtn4rl1","11"
"ENSMUSG00000031666",1846.77194968676,-1.00266711826027,0.207279607618968,-4.83726850787667,1.31635553221002e-06,6.97407183534189e-06,1157.99898129585,2200.39170219747,"Rbl2","8"
"ENSMUSG00000012076",500.834904728441,0.832083327554306,0.172045440151147,4.83641604696583,1.3220107032326e-06,7.00179172774487e-06,496.218309480889,282.363843651963,"Brms1l","12"
"ENSMUSG00000020570",3907.32500168688,-0.496657769853355,0.102698148652824,-4.83609272775045,1.32416168826613e-06,7.01094053182747e-06,3062.65237264183,4332.03118982985,"Sypl","12"
"ENSMUSG00000055531",3549.50275644785,0.714358490497685,0.147717862022133,4.83596554078645,1.32500876263034e-06,7.01318197323147e-06,4994.60514145259,3090.20904723832,"Cpsf6","10"
"ENSMUSG00000074505",174.792049619008,-2.04404924005256,0.422682426953585,-4.83589832391357,1.32545664233635e-06,7.01330974658213e-06,86.0372950209676,406.936634759008,"Fat3","9"
"ENSMUSG00000058655",10951.5302270055,-0.844579322618872,0.174668438666517,-4.83532874666254,1.32925770059988e-06,7.03117424181166e-06,6913.76124355583,12777.4371521579,"Eif4b","15"
"ENSMUSG00000058093",1029.29076925954,0.767374952017938,0.15875367386936,4.83374610057478,1.33987456454772e-06,7.08506834435439e-06,1152.32336797486,700.522022375862,"AA987161","13"
"ENSMUSG00000073858",1741.56816224284,-1.08103731252716,0.223716216783118,-4.83218126996656,1.35045207482716e-06,7.13871999056668e-06,1022.13106374113,2211.99669924657,"Itpripl2","7"
"ENSMUSG00000003573",845.955239292091,-0.713957942662377,0.147760817382228,-4.83184889817919,1.35270906766989e-06,7.14608610884277e-06,705.732506847312,1151.306234534,"Homer3","8"
"ENSMUSG00000020454",1887.77823763196,0.687357819184471,0.142254933963288,4.83187331387648,1.35254314786166e-06,7.14608610884277e-06,2665.54378401932,1605.56248447977,"Eif4enif1","11"
"ENSMUSG00000028980",2087.54772587468,-0.692581475169523,0.14335080501166,-4.83137485773583,1.35593434876446e-06,7.16083899374617e-06,993.292129915283,1640.39758913508,"H6pd","4"
